original_name,occurrences,affected_guidelines,affected_diagnoses,possible_normalization,possible_atc
#цефтолозан+[тазобактам],4,3,4,цефтолозан + [тазобактам],J01CG01
#рифаксимин,4,3,3,рифаксимин,J04AB04
ко-тримоксазол [сульфаметоксазол+триметоприм]**,4,2,4,ко-тримоксазол [сульфаметоксазол + триметоприм],J01EE01
хлорамфеникол,4,3,4,хлорамфеникол,J01BA01
Ампициллин+[Сульбактам][3]**,4,1,1,Ампициллин + [Сульбактам][3],J01CA01
#ко-тримоксазола [Сульфаметоксазол+Триметоприм],4,3,3,ко-тримоксазола [Сульфаметоксазол + Триметоприм],J01EE01
#ципрофлоксацина**,4,1,2,ципрофлоксацина,J01MA02
#цефдиторен,4,1,3,цефдиторен,J01D
#цефподоксим,4,1,3,цефподоксим,J01D
"антибактериальные препараты системного действия, влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",4,2,2,"антибактериальные препараты системного действия, влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",J01CE01
#Эртапенем**,4,1,1,Эртапенем,J01DH03
эритромицин в виде глазной мази,4,1,2,эритромицин в виде глазной мази,J01FA01
Оксациллин (J01CF04 Oxacillin),4,1,2,Оксациллин (J01CF04 Oxacillin),J01CF04
Метронидазол (Metronidazole J01XD01),4,1,2,Метронидазол (Metronidazole J01XD01),J01XD01
цефтриаксона **,4,1,4,цефтриаксона,J01DD04
#рифапентин,4,1,2,рифапентин,
#рифампицина**,4,1,3,рифампицина,J04AB02
Нифурател,3,2,2,Нифурател,
Фуразолидон,3,2,2,Фуразолидон,
#доксициклина** в форме моногидрата (гидрохлорида),3,2,3,доксициклина** в форме моногидрата (гидрохлорида),J01AA02
#бензатина бензилпенициллин +Бензилпенициллин прокаина,3,2,1,бензатина бензилпенициллин + Бензилпенициллин прокаина,J01CE01
#амоксициллин [Клавулановая кислота]**,3,2,1,амоксициллин [Клавулановая кислота],J01CA04
бетаметазон+гентамицин+клотримазол,3,3,1,бетаметазон + гентамицин + клотримазол,J01GB03
другие бета-лактамные антибактериальные препараты,3,2,1,другие бета-лактамные антибактериальные препараты,
полимиксины,3,2,1,полимиксины,
#ко-тримоксазол [Сульфаметоксазол+Триметоприм]**,3,2,2,ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
#имипенем + циластатин** + #амоксициллин с клавулановой кислотой**,3,3,3,имипенем + циластатин** + #амоксициллин с клавулановой кислотой,J01CA04
#меропенем** + #амоксициллин с клавулановой кислотой**,3,3,3,меропенем** + #амоксициллин с клавулановой кислотой,J01CA04
#ко-тримоксазол [Сульфаметоксазол+Триметоприм],3,3,3,ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
цефалоспорины,3,3,2,цефалоспорины,J01D
джозамицин**,3,1,3,джозамицин,
нитрофурантоин,3,3,2,нитрофурантоин,J01XE01
#нитрофурантоин,3,3,2,нитрофурантоин,J01XE01
мупироцин,3,3,2,мупироцин,
Офлоксацин** (капли),3,2,1,Офлоксацин** (капли),J01MA01
цефтазидим+[авибактам],3,3,3,цефтазидим + [авибактам],J01DD02
цефтазидим+[авибактам] в комбинации с азтреонамом,3,3,3,цефтазидим + [авибактам] в комбинации с азтреонамом,J01DD02
антибактериальные препараты системного действия (широкого спектра),3,2,1,антибактериальные препараты системного действия (широкого спектра),
меропенем** и ципрофлоксацин**,3,2,1,меропенем** и ципрофлоксацин,J01MA02
пенициллины,3,2,3,пенициллины,J01CE01
#Ванкомицина**,3,2,3,Ванкомицина,J01XA01
Амоксициллин+ [клавулановая кислота]**,3,1,1,Амоксициллин + [клавулановая кислота],J01CA04
джозамицин,3,1,3,джозамицин,
тобрамицин**,3,2,3,тобрамицин,J01GB01
тетрациклин**,3,2,3,тетрациклин,J01AA07
изониазид** + рифампицин**/рифабутин** + этамбутол** [пиразинамид**],3,1,1,изониазид** + рифампицин**/рифабутин** + этамбутол** [пиразинамид**],J04AB02
Джозамицин**,3,2,2,Джозамицин,
Орнидазол,3,1,1,Орнидазол,
Цефазолин + Метронидазол,3,1,2,Цефазолин + Метронидазол,J01DB04
Цефуроксим + Метронидазол,3,1,2,Цефуроксим + Метронидазол,J01DC02
фторхинолоны и аминогликозиды,3,1,3,фторхинолоны и аминогликозиды,J01MA
цефалоспорины и аминогликозиды,3,1,3,цефалоспорины и аминогликозиды,J01D
цефдиторен,3,1,2,цефдиторен,J01D
цефподоксим,3,1,2,цефподоксим,J01D
#Ванкомицином**,3,1,1,Ванкомицином,J01XA01
Ампициллин+[Сульбактам]** + #гентамицин** / амикацин** / нетилмицин,3,1,1,Ампициллин + [Сульбактам]** + #гентамицин** / амикацин** / нетилмицин,J01CA01
Хлорамфеникол**,3,1,1,Хлорамфеникол,J01BA01
Бензатина бензилпенициллин+бензилпенициллин натрия+бензилпенициллин прокаина**,3,1,2,Бензатина бензилпенициллин + бензилпенициллин натрия + бензилпенициллин прокаина,J01CE01
#ко-тримоксазол** (J01EE),3,1,2,ко-тримоксазол** (J01EE),J01EE01
J01D другие бета-лактамные антибактериальные препараты,3,1,2,J01D другие бета-лактамные антибактериальные препараты,
"J01CF пенициллины, устойчивые к бета-лактамазам",3,1,2,"J01CF пенициллины, устойчивые к бета-лактамазам",J01CE01
J01FF Линкозамиды,3,1,2,J01FF Линкозамиды,
пенициллины в комбинации с ингибиторами бета-лактамаз,3,1,2,пенициллины в комбинации с ингибиторами бета-лактамаз,J01CE01
Бензатина бензилпенициллин+Бензилпенициллин прокаина,3,1,3,Бензатина бензилпенициллин + Бензилпенициллин прокаина,J01CE01
Бензатина бензилпенициллина**,3,1,3,Бензатина бензилпенициллина,J01CE01
препарат,3,1,3,препарат,
#ко-тримоксазолом**,3,1,3,ко-тримоксазолом,J01EE01
H R/Rb Z E [S],2,2,2,H R/Rb Z E [S],
Амоксициллин клавулановая кислота**,2,2,2,Амоксициллин клавулановая кислота,J01CA04
эмпирическая антибактериальная терапия,2,2,2,эмпирическая антибактериальная терапия,
#тетрациклином,2,1,1,тетрациклином,J01AA07
левофлоксацином**,2,2,2,левофлоксацином,J01MA12
Бензатина бензилпенициллин,2,2,1,Бензатина бензилпенициллин,J01CE01
спектиномицин,2,1,2,спектиномицин,J01XX04
цефалоспорины III поколения (цефиксим и др.),2,2,1,цефалоспорины III поколения (цефиксим и др.),J01DD08
цефалоспорины III поколения,2,2,2,цефалоспорины III поколения,J01D
другие препараты с антисинегнойной активностью,2,2,1,другие препараты с антисинегнойной активностью,
"изониазид**, рифампицин**, пиразинамид** и этамбутол**",2,2,2,"изониазид**, рифампицин**, пиразинамид** и этамбутол",J04AB02
фторхинолоны (код АТХ S01AE),2,2,1,фторхинолоны (код АТХ S01AE),J01MA
Пиклоксидин (код АТХ S01AX16),2,2,1,Пиклоксидин (код АТХ S01AX16),
фуразидин,2,2,1,фуразидин,J01XE03
нифурател,2,2,2,нифурател,
Цефалоспорины I–II поколений : цефазолин (J01DB04Cefazolin),2,2,2,Цефалоспорины I–II поколений : цефазолин (J01DB04Cefazolin),J01DB04
"пероральные антибиотики, которые будут покрывать S. aureus и P. aeruginosa",2,2,2,"пероральные антибиотики, которые будут покрывать S. aureus и P. aeruginosa",
Амоксициллин+ [Клавулановая кислота]**,2,2,2,Амоксициллин + [Клавулановая кислота],J01CA04
рифаксимина,2,2,2,рифаксимина,J04AB04
Цефазолин²**,2,2,2,Цефазолин²,J01DB04
Цефазолин²** + Метронидазол**,2,2,2,Цефазолин²** + Метронидазол,J01DB04
бацитрацин + неомицин,2,2,1,бацитрацин + неомицин,
сульфатиазол серебра,2,2,1,сульфатиазол серебра,
гидрокортизон + окситетрациклин,2,2,2,гидрокортизон + окситетрациклин,J01AA07
тетрациклин + триамцинолон,2,2,2,тетрациклин + триамцинолон,J01AA07
гидрокортизон + фузидовая кислота,2,2,2,гидрокортизон + фузидовая кислота,
бетаметазон + фузидовая кислота,2,2,2,бетаметазон + фузидовая кислота,
местные препараты в виде ушных капель,2,2,1,местные препараты в виде ушных капель,
противомикробные средства в комбинации с кортикостероидами,2,2,1,противомикробные средства в комбинации с кортикостероидами,
фрамицетина,2,2,2,фрамицетина,
Дексаметазон + Неомицин + Полимиксин B + Фенилэфрин,2,2,2,Дексаметазон + Неомицин + Полимиксин B + Фенилэфрин,
тиамфеникола глицинат ацетилцистеинат,2,2,2,тиамфеникола глицинат ацетилцистеинат,
"гентамицин** и клиндамицин** с бета-лактамными антибактериальными препаратами, пенициллинами (J01C) или без них",2,2,2,"гентамицин** и клиндамицин** с бета-лактамными антибактериальными препаратами, пенициллинами (J01C) или без них",J01CE01
#Бензатина бензилпенициллин+Бензилпенициллин прокаина,2,2,2,Бензатина бензилпенициллин + Бензилпенициллин прокаина,J01CE01
"бета-лактамные антибактериальные препараты, пенициллины (J01C)",2,2,2,"бета-лактамные антибактериальные препараты, пенициллины (J01C)",J01CE01
современные 14-членные макролиды,2,2,2,современные 14-членные макролиды,J01FA
антибактериальная терапия,2,2,2,антибактериальная терапия,
"противотуберкулезные препараты, пенициллины, чувствительные к беталактамазам и др.",2,2,1,"противотуберкулезные препараты, пенициллины, чувствительные к беталактамазам и др.",J01CE01
нифуроксазид,2,2,2,нифуроксазид,
#тетрациклином**,2,2,2,тетрациклином,J01AA07
цефтриаксон и #азитромицин,2,2,2,цефтриаксон и #азитромицин,J01DD04
Ко-тримоксазол [Сульфаметоксазол+Триметоприм],2,2,2,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
амоксициллин** + кларитромицин**,2,1,1,амоксициллин** + кларитромицин,J01CA04
амоксициллин** + #метронидазол**,2,1,1,амоксициллин** + #метронидазол,J01CA04
#тетрациклин + #метронидазол**,2,1,1,тетрациклин + #метронидазол,J01AA07
изониазид** + рифампицин**/рифапентин,2,1,1,изониазид** + рифампицин**/рифапентин,J04AB02
изониазид** + рифампицин** + этамбутол**,2,1,1,изониазид** + рифампицин** + этамбутол,J04AB02
Цефтриаксон[4]**,2,1,1,Цефтриаксон[4],J01DD04
амоксициллин+[клавулановая кислота]**3,2,1,1,амоксициллин + [клавулановая кислота]**3,J01CA04
Пиперациллин+[Тазобактам],2,1,2,Пиперациллин + [Тазобактам],J01CG01
#Нифурател,2,1,1,Нифурател,
#Тетрациклин,2,1,1,Тетрациклин,J01AA07
Секнидазол,2,1,1,Секнидазол,
Тинидазол,2,1,1,Тинидазол,J01XD02
Албендазол,2,1,1,Албендазол,
антибиотики гликопептидной структуры,2,2,2,антибиотики гликопептидной структуры,
карбапенемов,2,2,2,карбапенемов,J01DH
