original_name,occurrences,affected_guidelines,affected_diagnoses,possible_normalization,possible_atc
метронидазол** с фторхинолонами,1,1,1,метронидазол** с фторхинолонами,J01XD01
пиперациллин + [тазобактам],1,1,1,пиперациллин + [тазобактам],J01CG01
"бета-лактамные антибактериальные препараты, пенициллины (J01C) и гентамицин** с метронидазолом**",1,1,1,"бета-лактамные антибактериальные препараты, пенициллины (J01C) и гентамицин** с метронидазолом",J01CE01
цефалоспорины второго поколения (J01DC) или цефалоспорины третьего поколения (J01DD) с метронидазолом**,1,1,1,цефалоспорины второго поколения (J01DC) или цефалоспорины третьего поколения (J01DD) с метронидазолом,J01XD01
пиперациллин+[тазобактам],1,1,1,пиперациллин + [тазобактам],J01CG01
карбапенемы и другие препараты резерва,1,1,1,карбапенемы и другие препараты резерва,J01DH
"антибактериальные препараты системного действия (АТХ – J01); препараты широкого спектра действия (цефалоспорины третьего, цефалоспорины четвертого, цефалоспорины пятого поколения (АТХ группа Другие цефалоспорины и пенемы), комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, макролиды)",1,1,1,"антибактериальные препараты системного действия (АТХ – J01); препараты широкого спектра действия (цефалоспорины третьего, цефалоспорины четвертого, цефалоспорины пятого поколения (АТХ группа Другие цефалоспорины и пенемы), комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, макролиды)",J01CE01
амоксициллин+[клавулановая кислота]**,1,1,1,амоксициллин + [клавулановая кислота],J01CA04
мазь глазная эритромицина,1,1,1,мазь глазная эритромицина,J01FA01
колистемитат натрия4 тетрациклин+хлорамфеникол**,1,1,1,колистемитат натрия4 тетрациклин + хлорамфеникол,J01AA07
"дексаметазон 0.1%+тобромицин 0,3%",1,1,1,"дексаметазон 0.1% + тобромицин 0,3%",
"дексаметазон 0,1%д левофлоксацин 0,5%",1,1,1,"дексаметазон 0,1%д левофлоксацин 0,5%",J01MA12
"фторметолон 0,1%+тобромицин 0,3%",1,1,1,"фторметолон 0,1% + тобромицин 0,3%",
дексаметазон О.Змг+гентамицин 5 мг,1,1,1,дексаметазон О.Змг + гентамицин 5 мг,J01GB03
бетаметазон + гентамицин + клотримазол,1,1,1,бетаметазон + гентамицин + клотримазол,J01GB03
пенициллины парентерально + #азитромицин,1,1,1,пенициллины парентерально + #азитромицин,J01CE01
рифаксим,1,1,1,рифаксим,
кларитромицин** + #тетрациклин,1,1,1,кларитромицин** + #тетрациклин,J01FA09
#метронидазол** + #фуразолидон,1,1,1,метронидазол** + #фуразолидон,J01XD01
амоксициллин + нифурател,1,1,1,амоксициллин + нифурател,J01CA04
изониазид** + рифампицин**/рифабутин** + пиразинамид** + этамбутол** [стрептомицин**],1,1,1,изониазид** + рифампицин**/рифабутин** + пиразинамид** + этамбутол** [стрептомицин**],J04AB02
изониазид** + рифампицин**/рифабутин**/рифапентин,1,1,1,изониазид** + рифампицин**/рифабутин**/рифапентин,J04AB02
рифампицин**/рифабутин** + этамбутол** + пиразинамид** + левофлоксацин**/спарфлоксацин**/моксифлоксацин** [протионамид**/этионамид**] [канамицин**/амикацин**/капреомицин**],1,1,1,рифампицин**/рифабутин** + этамбутол** + пиразинамид** + левофлоксацин**/спарфлоксацин**/моксифлоксацин** [протионамид**/этионамид**] [канамицин**/амикацин**/капреомицин**],J01GB06
рифампицин** + этамбутол** + пиразинамид** + левофлоксацин**,1,1,1,рифампицин** + этамбутол** + пиразинамид** + левофлоксацин,J01MA12
рифампицин** + пиразинамид** + левофлоксацин**/спарфлоксацин**/моксифлоксацин** [этамбутол**] [протионамид**/этионамид**],1,1,1,рифампицин** + пиразинамид** + левофлоксацин**/спарфлоксацин**/моксифлоксацин** [этамбутол**] [протионамид**/этионамид**],J01MA12
рифампицин**/рифабутин** + пиразинамид** + этамбутол** [левофлоксацин**/спарфлоксацин**/моксифлоксацин**] [протионамид**/этионамид**],1,1,1,рифампицин**/рифабутин** + пиразинамид** + этамбутол** [левофлоксацин**/спарфлоксацин**/моксифлоксацин**] [протионамид**/этионамид**],J01MA12
рифампицин** + этамбутол** + пиразинамид**,1,1,1,рифампицин** + этамбутол** + пиразинамид,J04AB02
изониазид** + рифампицин**/рифабутин** + пиразинамид** + этамбутол**,1,1,1,изониазид** + рифампицин**/рифабутин** + пиразинамид** + этамбутол,J04AB02
изониазид** + рифампицин** + пиразинамид**/этамбутол**,1,1,1,изониазид** + рифампицин** + пиразинамид**/этамбутол,J04AB02
изониазид** + рифампицин**/рифабутин**/рифапентин + этамбутол** [пиразинамид**],1,1,1,изониазид** + рифампицин**/рифабутин**/рифапентин + этамбутол** [пиразинамид**],J04AB02
левофлоксацин**/моксифлоксацин**/спарфлоксацин** + бедаквилин** + линезолид** + циклосерин**/теризидон** + протионамид**/этионамид** [канамицин**/амикацин**/капреомицин**] [пиразинамид**] [этамбутол**] [аминосалициловая кислота**] [тиоуреидоиминометилпиридиния перхлорат**],1,1,1,левофлоксацин**/моксифлоксацин**/спарфлоксацин** + бедаквилин** + линезолид** + циклосерин**/теризидон** + протионамид**/этионамид** [канамицин**/амикацин**/капреомицин**] [пиразинамид**] [этамбутол**] [аминосалициловая кислота**] [тиоуреидоиминометилпиридиния перхлорат**],J01GB06
левофлоксацин**/моксифлоксацин**/спарфлоксацин** + циклосерин**/теризидон** + протионамид**/этионамид** + аминосалициловая кислота** [этамбутол**] [пиразинамид**] [линезолид**],1,1,1,левофлоксацин**/моксифлоксацин**/спарфлоксацин** + циклосерин**/теризидон** + протионамид**/этионамид** + аминосалициловая кислота** [этамбутол**] [пиразинамид**] [линезолид**],J01XX08
бедаквилин** + линезолид** + левофлоксацин**/моксифлоксацин**/спарфлоксацин** + циклосерин**/теризидон** + амикацин**/канамицин**/капреомицин** + пиразинамид** [этамбутол**] [протионамид**/этионамид**] [аминосалициловая кислота**] [амоксициллин** + клавулановая кислота**/имипенем+циластатин**/меропенем**] [тиоуреидоиминометилпиридиния перхлорат**],1,1,1,бедаквилин** + линезолид** + левофлоксацин**/моксифлоксацин**/спарфлоксацин** + циклосерин**/теризидон** + амикацин**/канамицин**/капреомицин** + пиразинамид** [этамбутол**] [протионамид**/этионамид**] [аминосалициловая кислота**] [амоксициллин** + клавулановая кислота**/имипенем + циластатин**/меропенем**] [тиоуреидоиминометилпиридиния перхлорат**],J01CA04
линезолид** + моксифлоксацин**/левофлоксацин** + циклосерин**/теризидон** + пиразинамид** [аминосалициловая кислота**] [этамбутол**] [протионамид**/этионамид**] [амоксициллин** + клавулановая кислота**/имипенем+циластатин**/меропенем**],1,1,1,линезолид** + моксифлоксацин**/левофлоксацин** + циклосерин**/теризидон** + пиразинамид** [аминосалициловая кислота**] [этамбутол**] [протионамид**/этионамид**] [амоксициллин** + клавулановая кислота**/имипенем + циластатин**/меропенем**],J01CA04
Ко-тримоксазол [Сульфаметоксазол + Триметоприм],1,1,1,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
цефалоспорин первого или второго поколения,1,1,1,цефалоспорин первого или второго поколения,J01D
ко-тримоксазола**,1,1,1,ко-тримоксазола,J01EE01
"антибактериальные препараты системного действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR)",1,1,1,"антибактериальные препараты системного действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR)",J01CE01
"антибактериальные препараты широкого спектра действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR); предпочтительно препараты резервных групп, например - карбапенемы (J01DH)",1,1,1,"антибактериальные препараты широкого спектра действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR); предпочтительно препараты резервных групп, например - карбапенемы (J01DH)",J01CE01
"препараты широкого спектра – бета-лактамные антибактериальные препараты: пенициллины, другие бета-лактамные антибактериальные препараты (цефалоспорины), макролиды",1,1,1,"препараты широкого спектра – бета-лактамные антибактериальные препараты: пенициллины, другие бета-лактамные антибактериальные препараты (цефалоспорины), макролиды",J01CE01
антибактериальными препаратами системного действия,1,1,1,антибактериальными препаратами системного действия,
#Амоксициллин+ сульбактам,1,1,1,Амоксициллин + сульбактам,J01CA04
"комбинация из нескольких антибактериальных препаратов (цефалоспорины, метронидазол**, комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и др.)",1,1,1,"комбинация из нескольких антибактериальных препаратов (цефалоспорины, метронидазол**, комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и др.)",J01CE01
"цефтазидим** (возможно, в сочетании с #метронидазолом**)",1,1,1,"цефтазидим** (возможно, в сочетании с #метронидазолом**)",J01DD02
дорипенем,1,1,1,дорипенем,
"азтреонам, возможно - в сочетании с #метронидазолом**",1,1,1,"азтреонам, возможно - в сочетании с #метронидазолом",J01DF01
моксифлоксацин** (возможно - в сочетании с #метронидазолом**),1,1,1,моксифлоксацин** (возможно - в сочетании с #метронидазолом**),J01MA14
"0,5% #левофлоксацина",1,1,1,"0,5% #левофлоксацина",J01MA12
"0,5% #моксифлоксацина",1,1,1,"0,5% #моксифлоксацина",J01MA14
парентеральная антибактериальная терапия,1,1,1,парентеральная антибактериальная терапия,
терапия,1,1,1,терапия,
препараты из группы других бета-лактамных антибактериальных препаратов (J01D по АТХ классификации) + препарат группы макролидов (J01FA по АТХ классификации) или фторхинолонов (J01MA по АТХ классификации),1,1,1,препараты из группы других бета-лактамных антибактериальных препаратов (J01D по АТХ классификации) + препарат группы макролидов (J01FA по АТХ классификации) или фторхинолонов (J01MA по АТХ классификации),J01MA
ванкомицин** в сочетании с цефотаксим**,1,1,1,ванкомицин** в сочетании с цефотаксим,J01DD01
ИПН + АМО** + КЛА** (+В**),1,1,1,ИПН + АМО** + КЛА** ( + В**),
др. препараты с антисинегнойной активностью,1,1,1,др. препараты с антисинегнойной активностью,
#Пиперациллин+[Тазобактам],1,1,1,Пиперациллин + [Тазобактам],J01CG01
#Пентамидин,1,1,1,Пентамидин,
#изониазид**,1,1,1,изониазид,J04AC01
изониазид**,1,1,1,изониазид,J04AC01
пиразинамид**,1,1,1,пиразинамид,J04AK03
#амоксициллина с клавулановой кислотой**,1,1,1,амоксициллина с клавулановой кислотой,J01CA04
Макролиды,1,1,1,Макролиды,J01FA
Линкозамиды,1,1,1,Линкозамиды,
Производные имидазола,1,1,1,Производные имидазола,
другие противомикробные препараты и антисептики (АТХ С01АХ),1,1,1,другие противомикробные препараты и антисептики (АТХ С01АХ),
макролиды+ производные имидазола,1,1,1,макролиды + производные имидазола,J01FA
фторхинолоны+производные имидазола,1,1,1,фторхинолоны + производные имидазола,J01MA
#ампициллин+[сульбактам]**,1,1,1,ампициллин + [сульбактам],J01CA01
Амоксициллин + Клавулановая кислота** + Производные имидазола,1,1,1,Амоксициллин + Клавулановая кислота** + Производные имидазола,J01CA04
#гентамицин** к цефазолину**,1,1,1,гентамицин** к цефазолину,J01DB04
цефалоспорины первого и второго поколения,1,1,1,цефалоспорины первого и второго поколения,J01D
ванкомицин** / #клиндамицин** + оксациллин** + гентамицин** / цефотаксим** / цефтазидим** / цефтриаксон**,1,1,1,ванкомицин** / #клиндамицин** + оксациллин** + гентамицин** / цефотаксим** / цефтазидим** / цефтриаксон,J01CF04
Амоксициллин+[Клавулановая кислота],1,1,1,Амоксициллин + [Клавулановая кислота],J01CA04
Амоксициллин+ [Клавулановая кислота],1,1,1,Амоксициллин + [Клавулановая кислота],J01CA04
Цефдиторен,1,1,1,Цефдиторен,J01D
Цефподоксим,1,1,1,Цефподоксим,J01D
#гентамицин** добавляется к цефазолину**,1,1,1,гентамицин** добавляется к цефазолину,J01DB04
"колистиметат натрия, полимиксин В, тигециклин, цефтолозан+[тазобактам], цефтазидим+[авибактам] (в некоторых ситуациях в комбинации с азтреонамом)",1,1,1,"колистиметат натрия, полимиксин В, тигециклин, цефтолозан + [тазобактам], цефтазидим + [авибактам] (в некоторых ситуациях в комбинации с азтреонамом)",J01CG01
цефтазидим+[авибактам] (в некоторых ситуациях в комбинации с азтреонамом),1,1,1,цефтазидим + [авибактам] (в некоторых ситуациях в комбинации с азтреонамом),J01DD02
бета-лактамные антибактериальные препараты наиболее широкого спектра действия (карбапенемы) в сочетании с аминогликозидами и ванкомицином**,1,1,1,бета-лактамные антибактериальные препараты наиболее широкого спектра действия (карбапенемы) в сочетании с аминогликозидами и ванкомицином,J01XA01
полимиксин В**,1,1,1,полимиксин В,
тигециклин**,1,1,1,тигециклин,
#цефтолозан+[тазобактам]**,1,1,1,цефтолозан + [тазобактам],J01CG01
цефтазидим+[авибактам]**,1,1,1,цефтазидим + [авибактам],J01DD02
цефтазидим+[авибактам]** в комбинации с азтреонамом,1,1,1,цефтазидим + [авибактам]** в комбинации с азтреонамом,J01DD02
ко-тримоксазол [Сульфаметоксазол+Триметоприм]**,1,1,1,ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
аминогликозиды,1,1,1,аминогликозиды,J01G
цефалоспорины третьего поколения,1,1,1,цефалоспорины третьего поколения,J01D
"бета-лактамные антибактериальные препараты (комбинации пенициллинов, включая ингибиторы бета-лактамаз; цефалоспорины четвертого поколения)",1,1,1,"бета-лактамные антибактериальные препараты (комбинации пенициллинов, включая ингибиторы бета-лактамаз; цефалоспорины четвертого поколения)",J01CE01
аминогликозид и/или антибиотик гликопептидной структуры,1,1,1,аминогликозид и/или антибиотик гликопептидной структуры,J01G
Полимиксин В**,1,1,1,Полимиксин В,
#Тигециклин**,1,1,1,Тигециклин,
#Цефтолозан/тазобактам**,1,1,1,Цефтолозан/тазобактам,J01CG01
Цефтазидим + [авибактам**],1,1,1,Цефтазидим + [авибактам**],J01DD02
#Цефтазидим + [авибактам**] в комбинации с #азтреонамом**,1,1,1,Цефтазидим + [авибактам**] в комбинации с #азтреонамом,J01DD02
карбапенемы в сочетании с аминогликозидами и ванкомицином**,1,1,1,карбапенемы в сочетании с аминогликозидами и ванкомицином,J01XA01
даптомицин**,1,1,1,даптомицин,J01XX09
цефтаролин фосамил**,1,1,1,цефтаролин фосамил,J01D
"линезолид**, даптомицин**, тигециклин**, ванкомицин**",1,1,1,"линезолид**, даптомицин**, тигециклин**, ванкомицин",J01XA01
#Ко-тримоксазол [Сульфаметоксазол+Триметоприм],1,1,1,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
"антибактериальные препараты системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",1,1,1,"антибактериальные препараты системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",J01CE01
"#ко-тримоксазол** (JO1EE) в комбинации с антибактериальными препаратами системного действия (JO1), влияющими на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X))",1,1,1,"ко-тримоксазол** (JO1EE) в комбинации с антибактериальными препаратами системного действия (JO1), влияющими на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X))",J01CE01
пенициллинами широкого спектра действия (код АТХ J01CА) в сочетании с другими аминогликозидами (код АТХ J01GВ),1,1,1,пенициллинами широкого спектра действия (код АТХ J01CА) в сочетании с другими аминогликозидами (код АТХ J01GВ),J01CE01
пенициллины широкого спектра действия в сочетании с другими аминогликозидами,1,1,1,пенициллины широкого спектра действия в сочетании с другими аминогликозидами,J01CE01
пенициллины широкого спектра действия (код АТХ J01CА) в сочетании с другими аминогликозидами (код АТХ J01GВ),1,1,1,пенициллины широкого спектра действия (код АТХ J01CА) в сочетании с другими аминогликозидами (код АТХ J01GВ),J01CE01
пенициллины широкого спектра действия + другие аминогликозиды,1,1,1,пенициллины широкого спектра действия + другие аминогликозиды,J01CE01
ампициллин** + #гентамицин**,1,1,1,ампициллин** + #гентамицин,J01CA01
ампициллин** + амикацин**,1,1,1,ампициллин** + амикацин,J01CA01
ампициллин** + нетилмицин,1,1,1,ампициллин** + нетилмицин,J01CA01
Ампициллин+[Сульбактам]** + #гентамицин**,1,1,1,Ампициллин + [Сульбактам]** + #гентамицин,J01CA01
Ампициллин+[Сульбактам]** + амикацин**,1,1,1,Ампициллин + [Сульбактам]** + амикацин,J01CA01
Ампициллин+[Сульбактам]** + нетилмицин,1,1,1,Ампициллин + [Сульбактам]** + нетилмицин,J01CA01
Мупироцин,1,1,1,Мупироцин,
клиндамицина**,1,1,1,клиндамицина,J01FF01
Цефалоспорины I–II поколений: цефазолин (J01DB04Cefazolin),1,1,1,Цефалоспорины I–II поколений: цефазолин (J01DB04Cefazolin),J01DB04
цефазолин (J01DB04Cefazolin),1,1,1,цефазолин (J01DB04Cefazolin),J01DB04
Цефазолин (J01DB04Cefazolin),1,1,1,Цефазолин (J01DB04Cefazolin),J01DB04
норфлоксацина,1,1,1,норфлоксацина,J01MA06
ципрофлоксацина,1,1,1,ципрофлоксацина,J01MA02
пиперациллин+тазобакдама,1,1,1,пиперациллин + тазобакдама,
другие бета-лактамные антибактериальные препараты (карбапенемы),1,1,1,другие бета-лактамные антибактериальные препараты (карбапенемы),J01DH
Амоксициллин** или Ампициллин**,1,1,1,Амоксициллин** или Ампициллин,J01CA04
цефазолин** или цефтриаксон**,1,1,1,цефазолин** или цефтриаксон,J01DB04
"противомикробные препараты системного действия, активные в отношении микроорганизмов Staphylococcus aureus и Streptococcus Spp (J01D другие бета-лактамные антибактериальные препараты, J01CF пенициллины, устойчивые к бета-лактамазам, J01FF Линкозамиды)",1,1,1,"противомикробные препараты системного действия, активные в отношении микроорганизмов Staphylococcus aureus и Streptococcus Spp (J01D другие бета-лактамные антибактериальные препараты, J01CF пенициллины, устойчивые к бета-лактамазам, J01FF Линкозамиды)",J01CE01
Цефалоспорины второго поколения / Цефалоспорины третьего поколения в комбинации с метронидазолом**,1,1,1,Цефалоспорины второго поколения / Цефалоспорины третьего поколения в комбинации с метронидазолом,J01XD01
амоксициллин+клавулановую кислоту**,1,1,1,амоксициллин + клавулановую кислоту,J01CA04
цефтриаксон** с метронидазолом**,1,1,1,цефтриаксон** с метронидазолом,J01DD04
цефотаксим** с метронидазолом**,1,1,1,цефотаксим** с метронидазолом,J01DD01
цефалоспорины второго/ третьего поколения в комбинации с метронидазолом**,1,1,1,цефалоспорины второго/ третьего поколения в комбинации с метронидазолом,J01XD01
защищенные пенициллины,1,1,1,защищенные пенициллины,J01CE01
"цефалоспорины 2, 3, 4 поколения в комбинации с метронидазолом",1,1,1,"цефалоспорины 2, 3, 4 поколения в комбинации с метронидазолом",J01XD01
карбопенемы в комбинации с гликопептидами,1,1,1,карбопенемы в комбинации с гликопептидами,
тиамфеникола глицината ацетилцистеинат,1,1,1,тиамфеникола глицината ацетилцистеинат,
комбинация клиндамицина** и #рифампицина**,1,1,1,комбинация клиндамицина** и #рифампицина,J01FF01
"бета-лактамные антибактериальные препараты: пенициллины, цефалоспорины 1-ого или 2-ого поколения",1,1,1,"бета-лактамные антибактериальные препараты: пенициллины, цефалоспорины 1-ого или 2-ого поколения",J01CE01
антибиотикотерапия,1,1,1,антибиотикотерапия,
"полусинтетические пенициллины (бета-лактамные антибактериальные препараты, пенициллины)",1,1,1,"полусинтетические пенициллины (бета-лактамные антибактериальные препараты, пенициллины)",J01CE01
антибиотики группы тетрациклина,1,1,1,антибиотики группы тетрациклина,J01AA07
"полусинтетические пенициллины (бета-лактамные антибактериальные препараты, пенициллины), фторхинолоны, макролиды, антибиотики группы тетрациклина",1,1,1,"полусинтетические пенициллины (бета-лактамные антибактериальные препараты, пенициллины), фторхинолоны, макролиды, антибиотики группы тетрациклина",J01CE01
Тедизолид**,1,1,1,Тедизолид,J01XX11
пролонгированные антибиотики,1,1,1,пролонгированные антибиотики,
"#левофлоксацина**, капель глазных 0.5%",1,1,1,"левофлоксацина**, капель глазных 0.5%",J01MA12
"левофлоксацина**, капель глазных 0.5%",1,1,1,"левофлоксацина**, капель глазных 0.5%",J01MA12
#левофлоксацина**,1,1,1,левофлоксацина,J01MA12
антибиотики,1,1,1,антибиотики,
"препараты, проникающими через гематоэнцефалический барьер",1,1,1,"препараты, проникающими через гематоэнцефалический барьер",J01D
цефазолин** + #гентамицина**,1,1,1,цефазолин** + #гентамицина,J01DB04
комбинация из трёх препаратов,1,1,1,комбинация из трёх препаратов,
цефтриаксона**,1,1,1,цефтриаксона,J01DD04
пиклоксидин (S01AX16),1,1,1,пиклоксидин (S01AX16),
тобрамицин (S01AA12),1,1,1,тобрамицин (S01AA12),J01GB01
нетилмицин (S01AA23),1,1,1,нетилмицин (S01AA23),
ципрофлоксацин** (S01AE03),1,1,1,ципрофлоксацин** (S01AE03),J01MA02
левофлоксацин** (S01AE05),1,1,1,левофлоксацин** (S01AE05),J01MA12
антибактериальными препаратами системного действия (J01),1,1,1,антибактериальными препаратами системного действия (J01),
антибактериальных препаратов системного действия (J01),1,1,1,антибактериальных препаратов системного действия (J01),
офлоксацин** (S01AE01),1,1,1,офлоксацин** (S01AE01),J01MA01
Цефазолин1**,1,1,1,Цефазолин1,J01DB04
Ванкомицин3**+ #Клиндамицин**,1,1,1,Ванкомицин3** + #Клиндамицин,J01XA01
Ванкомицин3** + #Клиндамицин**,1,1,1,Ванкомицин3** + #Клиндамицин,J01XA01
"антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз; цефалоспорины 4-го поколения; карбапенемы, другие антибактериальные препараты)",1,1,1,"антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз; цефалоспорины 4-го поколения; карбапенемы, другие антибактериальные препараты)",J01CE01
"антибактериальных препаратов системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз; цефалоспорины 4-го поколения; карбапенемы, другие антибактериальные препараты)",1,1,1,"антибактериальных препаратов системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз; цефалоспорины 4-го поколения; карбапенемы, другие антибактериальные препараты)",J01CE01
изониазид** + рифампицин** + пиразинамид** + этамбутол**,1,1,1,изониазид** + рифампицин** + пиразинамид** + этамбутол,J04AB02
фосфомицин** + имипенемом+циластатин**,1,1,1,фосфомицин** + имипенемом + циластатин,J01DH51
